year,id,work_status,hours_worked_last_week,works_for,marital_status,siblings,children,age,age_when_firstchild_born,years_education,degree,major,sex,race,residence_type,family_living_location_when_sixteen,family_income_when_sixteen,born_in_US,number_grandparents_born_outside_US,total_family_income,region_of_interview,party_id,remember_voting_in_2016,Hillary_or_Trump,if_you__would_have_ voted_who_for,political_views,money_space_exploration_program,money_improve_protect_environment,money_improve_protect_health,money_helping_bigcities,money_decrease_crime,money_addressing_drug_addiction,money_improving_education,money_improving_conditions_blacks,money_national_defense,money_on_foreign_aid,money_on_welfare,should_gov_reduce_income_inequality,permit_to_buy_gun,should be legal_marijuana,attend_religious_services,happiness,personal_health,sex_education_public_schools,premarital_sex,sometimes_hard_spanking_child_necessary,gun_in_home,read_newspaper
2022,3417,in school,NA,someone else,never married,9,0,62,NA,12,high school,NA,MALE,BLACK,medium-sized city (50-250k),east south atlantic,average,yes,0,$10k to $12.5k,east south central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,pretty happy,poor,in favor,always wrong,agree,no,once a week
2022,3418,other,NA,someone else,never married,8,3,52,18,9,less than high school,NA,FEMALE,BLACK,open country but not a farm,east south atlantic,far above average,yes,0,$10k to $12.5k,east south central,Independent/Republican,did not vote,NA,Clinton,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,should not be legal,every week,not too happy,fair,in favor,not wrong at all,agree,NA,never
2022,3420,part time,15,someone else,never married,2,2,NA,20,12,high school,NA,FEMALE,BLACK,small city or town,east south atlantic,NA,yes,0,$15k to $17.5k,east south central,Democrat,voted,NA,NA,liberal,too much,too little,about right,too much,about right,too little,about right,too little,about right,about right,too little,1,NA,should be legal,NA,pretty happy,excellent,in favor,wrong only sometimes,strongly agree,NA,less than once a week
2022,3421,in school,NA,someone else,divorced,4,4,70,16,9,less than high school,NA,FEMALE,BLACK,small city or town,east south atlantic,below average,yes,0,$20k to $22.5k,east south central,Democrat,voted,Clinton,NA,moderate/middle of road,too much,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,3,NA,NA,about once a month,very happy,fair,in favor,not wrong at all,agree,NA,never
2022,3422,part time,15,someone else,never married,6,1,33,30,3,less than high school,NA,MALE,OTHER,small city or town,foreign,average,no,4,$1k to $3k,east south central,Independent,ineligible,NA,Don't know/can't remember,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,should not be legal,2-3 times a month,not too happy,fair,oppose,wrong only sometimes,disagree,NA,never
2022,3423,full time,40,someone else,never married,2,0,55,NA,15,associate,information technology,FEMALE,WHITE,small city or town,east south atlantic,far below average,yes,0,$40k to $50k,east south central,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,oppose,NA,2-3 times a month,not too happy,fair,NA,NA,NA,no,NA
2022,3424,keeping house,NA,NA,never married,NA,0,NA,NA,12,high school,NA,FEMALE,NA,small city or town,east south atlantic,average,NA,NA,NA,east south central,Independent,voted,NA,NA,moderate/middle of road,too much,too little,too little,about right,about right,too much,about right,too little,too little,too little,about right,4,oppose,should be legal,NA,pretty happy,excellent,NA,NA,NA,refused,NA
2022,3425,NA,NA,NA,never married,NA,NA,NA,20,NA,less than high school,NA,FEMALE,BLACK,small city or town,east south atlantic,NA,yes,NA,NA,east south central,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,should not be legal,several times a year,pretty happy,fair,in favor,always wrong,strongly agree,NA,every day
2022,3426,full time,40,someone else,never married,5,2,NA,25,16,bachelors,NA,FEMALE,BLACK,small city or town,east south atlantic,average,yes,0,NA,east south central,Democrat,voted,NA,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,every week,very happy,excellent,in favor,NA,strongly agree,no,every day
2022,3427,unemployed,NA,someone else,never married,4,3,64,30,12,high school,NA,FEMALE,BLACK,small city or town,east south atlantic,average,yes,0,$10k to $12.5k,east south central,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,NA,every week,not too happy,fair,NA,NA,NA,no,NA
2022,3428,NA,NA,someone else,never married,15,2,NA,24,12,high school,NA,FEMALE,BLACK,medium-sized city (50-250k),east south atlantic,NA,yes,0,NA,east south central,Democrat,voted,Clinton,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,oppose,should be legal,every week,pretty happy,excellent,NA,NA,NA,no,NA
2022,3429,keeping house,NA,someone else,divorced,1,3,25,18,9,high school,NA,FEMALE,WHITE,small city or town,east south atlantic,average,yes,0,$22.5k to $25k,east south central,Independent,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,never,not too happy,good,in favor,not wrong at all,agree,NA,less than once a week
2022,3430,other,NA,NA,widowed,6,3,84,21,10,less than high school,NA,FEMALE,WHITE,open country but not a farm,west north central,below average,yes,0,$22.5k to $25k,east south central,Republican,voted,Trump,NA,moderate/middle of road,about right,too much,about right,too much,too little,too little,too little,about right,too much,too much,about right,3,favor,should not be legal,never,pretty happy,fair,NA,NA,NA,no,NA
2022,3431,full time,50,someone else,married,1,3,49,19,12,high school,NA,MALE,WHITE,small city or town,east south atlantic,above average,yes,0,$40k to $50k,east south central,Independent,NA,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,less than once a year,pretty happy,good,in favor,not wrong at all,strongly agree,no,less than once a week
2022,3432,in school,NA,someone else,divorced,0,1,60,24,12,high school,NA,FEMALE,WHITE,large city (over 250k),east south atlantic,average,yes,0,$12.5k to $15k,east south central,Independent,NA,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,oppose,NA,never,not too happy,poor,NA,NA,NA,no,NA
2022,3433,part time,36,someone else,never married,10,3,26,15,12,high school,NA,FEMALE,OTHER,small city or town,east south atlantic,average,yes,0,NA,east south central,Independent,NA,NA,NA,slightly liberal,about right,too little,too little,too much,too little,too little,too little,too little,too little,too much,too little,NA,favor,NA,never,not too happy,fair,in favor,not wrong at all,strongly agree,no,never
2022,3434,full time,40,someone else,never married,2,1,25,25,13,high school,NA,FEMALE,BLACK,small city or town,east south atlantic,above average,yes,0,$25k to $30k,east south central,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,should be legal,2-3 times a month,very happy,excellent,in favor,always wrong,agree,NA,never
2022,3435,full time,40,someone else,married,2,3,54,22,16,bachelors,engineering,MALE,WHITE,farm,east south atlantic,below average,yes,0,$130k to $150k,east south central,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,oppose,NA,every week,pretty happy,good,NA,NA,NA,yes,NA
2022,3436,full time,40,someone else,married,4,2,50,38,12,high school,NA,MALE,WHITE,farm,east south atlantic,average,yes,0,$40k to $50k,east south central,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,favor,should not be legal,every week,pretty happy,good,NA,NA,NA,yes,NA
2022,3437,full time,40,someone else,never married,2,0,38,NA,14,bachelors,business administration,FEMALE,BLACK,small city or town,east south atlantic,average,yes,NA,$30k-$35k,east south central,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,about once or twice a year,pretty happy,fair,in favor,not wrong at all,strongly agree,NA,never
2022,3438,in school,NA,someone else,divorced,11,1,66,20,10,less than high school,NA,FEMALE,BLACK,large city (over 250k),east north central,far below average,yes,0,$10k to $12.5k,east south central,Democrat,voted,Clinton,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,every week,pretty happy,fair,in favor,not wrong at all,strongly agree,NA,never
2022,3439,in school,NA,self-employed,widowed,5,2,72,17,16,bachelors,psychology,FEMALE,WHITE,NA,foreign,above average,yes,0,$90k to $110k,east south central,Republican,voted,Trump,NA,slightly liberal,about right,too little,about right,about right,about right,about right,too little,about right,too little,too much,about right,7,NA,should be legal,every week,pretty happy,poor,in favor,wrong only sometimes,disagree,NA,once a week
2022,3440,full time,82,someone else,married,2,1,54,19,12,high school,NA,MALE,WHITE,open country but not a farm,east south atlantic,below average,yes,0,$130k to $150k,east south central,Republican,voted,Trump,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,oppose,NA,several times a year,pretty happy,good,NA,NA,NA,yes,NA
2022,3441,keeping house,NA,someone else,never married,4,4,51,17,11,less than high school,NA,FEMALE,BLACK,small city or town,east south atlantic,below average,yes,0,$8k to $10k,east south central,Democrat,did not vote,NA,Clinton,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should be legal,several times a year,not too happy,fair,in favor,not wrong at all,strongly agree,NA,less than once a week
2022,3442,other,NA,someone else,widowed,12,5,71,21,10,less than high school,NA,FEMALE,BLACK,farm,east south atlantic,below average,yes,0,$20k to $22.5k,east south central,Democrat,did not vote,NA,Clinton,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,should be legal,several times a year,not too happy,fair,NA,NA,NA,yes,NA
2022,3443,other,NA,NA,widowed,8,6,45,16,12,high school,NA,FEMALE,BLACK,small city or town,east south atlantic,far below average,yes,0,$12.5k to $15k,east south central,Democrat,did not vote,NA,Don't know/can't remember,liberal,too much,too little,about right,about right,too little,too little,too little,too little,too little,too much,too little,1,NA,should be legal,never,pretty happy,poor,in favor,wrong only sometimes,disagree,NA,never
2022,3444,on leave,NA,someone else,married,2,7,29,19,11,less than high school,NA,MALE,BLACK,open country but not a farm,east south atlantic,average,yes,0,$50k to $60k,east south central,Independent/Republican,voted,Clinton,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,about once a month,very happy,excellent,in favor,not wrong at all,strongly agree,no,never
2022,3445,keeping house,NA,someone else,widowed,3,4,56,18,11,less than high school,NA,FEMALE,WHITE,open country but not a farm,east south atlantic,average,yes,0,NA,east south central,Independent,NA,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,every week,not too happy,poor,oppose,always wrong,disagree,NA,never
2022,3446,other,NA,someone else,married,3,1,52,20,12,high school,NA,FEMALE,WHITE,small city or town,east south atlantic,average,yes,0,$50k to $60k,east south central,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,every week,very happy,good,in favor,NA,agree,yes,never
2022,3447,in school,NA,someone else,married,3,3,36,20,12,high school,NA,MALE,WHITE,small city or town,west south central,below average,yes,0,$50k to $60k,east south central,Republican,voted,Trump,NA,NA,too much,about right,too little,NA,too much,too much,too little,about right,too little,too much,too much,7,oppose,should be legal,less than once a year,pretty happy,poor,NA,NA,NA,yes,NA
2022,3448,keeping house,NA,someone else,separated,2,4,33,20,13,high school,NA,FEMALE,WHITE,small city or town,east south atlantic,average,yes,0,$20k to $22.5k,east south central,Independent/Republican,did not vote,NA,Trump,moderate/middle of road,about right,too little,too little,about right,too little,too much,too little,too much,too little,too much,too little,1,NA,NA,several times a year,not too happy,fair,in favor,always wrong,agree,NA,less than once a week
2022,3449,keeping house,NA,someone else,married,3,3,28,18,12,high school,NA,FEMALE,WHITE,open country but not a farm,east south atlantic,average,yes,0,$30k-$35k,east south central,Republican,NA,NA,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,should not be legal,nearly every week,pretty happy,good,in favor,wrong only sometimes,agree,NA,never
2022,3450,full time,46,someone else,never married,4,0,51,NA,12,high school,NA,MALE,WHITE,open country but not a farm,east south atlantic,far below average,yes,0,$30k-$35k,east south central,Republican,voted,Trump,NA,liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,favor,should not be legal,about once or twice a year,pretty happy,fair,NA,NA,NA,no,NA
2022,3451,in school,NA,NA,never married,10,0,33,NA,10,less than high school,NA,MALE,WHITE,small city or town,east south atlantic,far below average,yes,0,$15k to $17.5k,east south central,Independent/Republican,voted,Trump,NA,conservative,about right,too little,too little,too much,about right,about right,too much,too much,too little,too much,too little,1,favor,NA,about once a month,not too happy,poor,NA,NA,NA,no,NA
2022,3452,full time,0,someone else,married,1,2,33,30,19,graduate,counseling,FEMALE,WHITE,farm,east south atlantic,below average,yes,0,$110k to $130k,east south central,Republican,voted,Trump,NA,conservative,about right,too little,too little,about right,too little,too little,too little,too little,about right,about right,about right,7,favor,should not be legal,several times a year,pretty happy,fair,NA,NA,NA,yes,NA
2022,3453,keeping house,NA,someone else,married,6,0,34,NA,13,high school,NA,FEMALE,OTHER,medium-sized city (50-250k),foreign,below average,no,4,$8k to $10k,east south central,Independent,ineligible,NA,Other,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,2-3 times a month,very happy,fair,in favor,almost always wrong,agree,no,never
2022,3454,full time,25,someone else,married,2,2,49,31,12,high school,NA,MALE,WHITE,small city or town,east south atlantic,average,yes,0,$75k to $90k,east south central,Republican,voted,Trump,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,favor,should not be legal,several times a week,very happy,excellent,NA,NA,NA,refused,NA
2022,3455,unemployed,NA,someone else,never married,1,0,31,NA,10,less than high school,NA,MALE,WHITE,small city or town,east south atlantic,average,yes,0,$22.5k to $25k,east south central,Republican,did not vote,NA,Trump,extremely conservative,about right,too much,about right,too little,too little,too little,about right,about right,too little,about right,about right,2,oppose,should not be legal,less than once a year,pretty happy,excellent,NA,NA,NA,yes,NA
2022,3456,full time,40,someone else,married,2,3,40,30,18,bachelors,nursing,FEMALE,WHITE,small city or town,east south atlantic,average,yes,0,$40k to $50k,east south central,Republican,voted,Trump,NA,conservative,too much,too much,too much,too much,too much,too much,too much,too much,too little,too much,too much,7,NA,NA,2-3 times a month,pretty happy,good,oppose,always wrong,strongly disagree,NA,never
2022,3457,full time,55,someone else,divorced,1,3,33,21,14,associate,nursing,FEMALE,WHITE,farm,east south atlantic,average,yes,0,$60k to $75k,east south central,Republican,NA,NA,NA,moderate/middle of road,too much,about right,too little,about right,too little,too little,too little,too little,about right,too much,too little,NA,favor,NA,every week,pretty happy,good,in favor,always wrong,agree,no,once a week
2022,3458,full time,32,self-employed,divorced,5,2,55,18,12,high school,NA,MALE,BLACK,small city or town,east south atlantic,average,yes,0,$90k to $110k,east south central,Independent,did not vote,NA,Clinton,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,several times a year,pretty happy,fair,in favor,not wrong at all,strongly agree,yes,less than once a week
2022,3459,keeping house,NA,self-employed,married,7,3,49,18,11,high school,NA,FEMALE,WHITE,small city or town,south atlantic,average,yes,NA,$75k to $90k,east south central,Republican,did not vote,NA,Trump,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,less than once a year,not too happy,fair,oppose,not wrong at all,agree,yes,never
2022,3460,keeping house,NA,someone else,divorced,2,2,40,19,13,high school,NA,FEMALE,WHITE,small city or town,east south atlantic,above average,yes,0,$35k to $40k,east south central,Republican,voted,Trump,NA,conservative,too much,about right,too little,too little,too little,too little,too little,too much,too little,too much,too much,6,oppose,should be legal,about once a month,very happy,good,NA,NA,NA,yes,NA
2022,3461,keeping house,NA,someone else,never married,4,0,22,NA,7,less than high school,NA,MALE,BLACK,small city or town,east south atlantic,far below average,NA,NA,$4k to $5k,east south central,Independent/Democrat,ineligible,NA,Other,slightly liberal,too little,too little,too little,too little,too little,too little,too little,about right,about right,about right,too little,1,oppose,NA,about once a month,not too happy,good,NA,NA,NA,no,NA
2022,3462,other,NA,someone else,never married,4,8,NA,NA,13,high school,NA,MALE,OTHER,small city or town,east south atlantic,far above average,yes,0,$50k to $60k,east south central,Independent,voted,Clinton,NA,moderate/middle of road,too little,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,1,oppose,NA,several times a week,not too happy,poor,NA,NA,NA,no,NA
2022,3463,keeping house,NA,someone else,divorced,8,5,43,18,10,less than high school,NA,FEMALE,WHITE,small city or town,east south atlantic,average,yes,0,$6k to $7k,east south central,Independent/Republican,did not vote,NA,Trump,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,should be legal,never,not too happy,fair,NA,NA,NA,no,NA
2022,3464,full time,50,someone else,married,0,3,51,23,11,less than high school,NA,MALE,WHITE,small city or town,east south atlantic,average,yes,0,$110k to $130k,east south central,Republican,NA,NA,NA,extremely conservative,too much,too little,too little,too much,too little,too little,too little,too much,too little,too much,too much,NA,favor,NA,every week,pretty happy,good,in favor,not wrong at all,strongly agree,yes,never
2022,3465,keeping house,NA,NA,never married,2,0,20,NA,14,high school,NA,FEMALE,WHITE,small city or town,east south atlantic,above average,yes,0,$150k to $$35k to $40k0k,east south central,Independent/Republican,ineligible,NA,Trump,conservative,about right,too little,about right,about right,too little,too little,too little,about right,too little,about right,too much,5,NA,NA,every week,very happy,good,in favor,always wrong,strongly agree,NA,less than once a week
2022,3466,full time,32,someone else,divorced,1,0,28,NA,13,high school,NA,FEMALE,WHITE,small city or town,east south atlantic,average,yes,0,NA,east south central,Republican,voted,Trump,NA,slightly conservative,too much,about right,about right,about right,about right,too little,too little,about right,too little,about right,too little,4,NA,should not be legal,nearly every week,very happy,good,in favor,wrong only sometimes,strongly agree,NA,less than once a week
2022,3467,on leave,NA,someone else,never married,4,4,34,16,9,less than high school,NA,MALE,WHITE,open country but not a farm,east south atlantic,far below average,no,NA,NA,east south central,Independent,did not vote,NA,Clinton,extremely liberal,too much,too much,NA,too little,too much,too little,too much,too much,too much,too little,too much,NA,oppose,NA,several times a year,not too happy,fair,oppose,not wrong at all,strongly agree,no,once a week
2022,3468,full time,40,someone else,never married,4,0,29,NA,15,high school,NA,MALE,WHITE,small city or town,south atlantic,average,yes,1,$50k to $60k,east south central,Republican,did not vote,NA,Trump,slightly conservative,too little,about right,too little,too little,too little,about right,too little,about right,about right,too much,about right,NA,favor,NA,never,not too happy,good,in favor,not wrong at all,agree,no,every day
2022,3469,full time,40,someone else,never married,8,2,40,26,16,bachelors,counseling,FEMALE,BLACK,small city or town,east south atlantic,above average,yes,0,$20k to $22.5k,east south central,Democrat,voted,Clinton,NA,moderate/middle of road,about right,too little,about right,too little,too little,too little,about right,too little,about right,too much,too much,NA,oppose,NA,never,very happy,poor,in favor,not wrong at all,strongly agree,no,never
2022,3470,full time,37,someone else,never married,2,2,33,23,5,less than high school,NA,FEMALE,BLACK,open country but not a farm,east south atlantic,average,yes,0,$25k to $30k,east south central,Democrat,voted,Clinton,NA,liberal,about right,about right,too little,NA,too little,too much,NA,about right,about right,about right,about right,NA,favor,NA,every week,pretty happy,excellent,in favor,NA,disagree,no,never
2022,3471,keeping house,NA,someone else,married,4,1,74,29,12,high school,NA,FEMALE,BLACK,small city or town,south atlantic,average,yes,0,$60k to $75k,south atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,should be legal,nearly every week,pretty happy,good,in favor,wrong only sometimes,agree,NA,never
2022,3472,in school,NA,someone else,separated,4,6,74,21,12,high school,NA,MALE,BLACK,medium-sized city (50-250k),south atlantic,far below average,yes,0,$60k to $75k,south atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,nearly every week,pretty happy,good,in favor,almost always wrong,agree,yes,never
2022,3473,full time,40,someone else,divorced,4,3,59,21,5,less than high school,NA,FEMALE,BLACK,small city or town,south atlantic,below average,yes,0,$35k to $40k,south atlantic,Democrat,did not vote,NA,Clinton,moderate/middle of road,too much,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,NA,favor,NA,every week,pretty happy,fair,in favor,almost always wrong,agree,yes,once a week
2022,3474,full time,40,someone else,never married,1,3,28,21,12,high school,NA,FEMALE,BLACK,small city or town,south atlantic,average,yes,0,NA,south atlantic,NA,did not vote,NA,Clinton,slightly conservative,too little,too little,about right,too little,too little,about right,too little,about right,about right,about right,too little,3,favor,NA,2-3 times a month,pretty happy,excellent,NA,NA,NA,no,NA
2022,3475,full time,40,self-employed,never married,7,3,24,19,12,high school,NA,FEMALE,BLACK,large city (over 250k),south atlantic,far below average,yes,NA,$12.5k to $15k,south atlantic,Independent,did not vote,NA,Clinton,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,never,pretty happy,good,in favor,not wrong at all,strongly agree,no,once a week
2022,3476,full time,40,someone else,never married,2,0,42,NA,18,graduate,business administration,FEMALE,WHITE,small city or town,south atlantic,below average,yes,0,NA,south atlantic,Independent/Democrat,NA,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,favor,NA,2-3 times a month,pretty happy,excellent,NA,NA,NA,no,NA
2022,3477,part time,25,someone else,never married,3,0,21,NA,12,high school,NA,FEMALE,BLACK,small city or town,south atlantic,far below average,yes,0,$8k to $10k,south atlantic,Independent,ineligible,NA,Clinton,moderate/middle of road,too much,about right,too little,too little,too little,too little,too little,too little,too much,too little,too little,1,favor,NA,less than once a year,not too happy,good,NA,NA,NA,yes,NA
2022,3478,keeping house,NA,NA,never married,11,2,31,16,NA,less than high school,NA,FEMALE,OTHER,small city or town,south atlantic,far below average,yes,NA,under $1k,south atlantic,Independent,NA,NA,NA,moderate/middle of road,too little,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,1,favor,NA,every week,not too happy,fair,NA,NA,NA,no,NA
2022,3479,full time,40,someone else,divorced,2,2,73,19,14,associate,parks and rec,MALE,WHITE,small city or town,south atlantic,average,yes,0,$50k to $60k,south atlantic,Independent/Republican,voted,Trump,NA,extremely conservative,too much,about right,too little,too little,too little,too little,too much,too much,too little,too much,too much,7,oppose,NA,every week,not too happy,excellent,NA,NA,NA,yes,NA
2022,3480,in school,NA,NA,married,0,2,66,27,12,high school,NA,MALE,WHITE,small city or town,south atlantic,average,yes,0,$90k to $110k,south atlantic,Republican,voted,Trump,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2-3 times a month,pretty happy,good,in favor,always wrong,agree,NA,never
2022,3481,full time,40,someone else,never married,3,4,27,20,15,high school,NA,FEMALE,BLACK,small city or town,south atlantic,below average,yes,0,$40k to $50k,south atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oppose,NA,2-3 times a month,pretty happy,fair,in favor,always wrong,agree,no,once a week
2022,3482,full time,53,someone else,never married,5,2,46,29,12,high school,NA,FEMALE,BLACK,small city or town,south atlantic,far below average,yes,0,$50k to $60k,south atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,favor,NA,about once or twice a year,pretty happy,fair,NA,NA,NA,yes,NA
2022,3483,other,NA,someone else,separated,9,3,69,21,12,high school,NA,FEMALE,BLACK,open country but not a farm,south atlantic,far below average,yes,0,$1k to $3k,south atlantic,Democrat,voted,Clinton,NA,extremely conservative,about right,about right,about right,too little,too little,too little,too little,too little,too much,about right,about right,NA,favor,NA,every week,pretty happy,good,in favor,always wrong,strongly agree,no,never
2022,3484,in school,NA,someone else,divorced,9,2,66,32,14,associate,education,MALE,BLACK,open country but not a farm,south atlantic,below average,yes,0,$50k to $60k,south atlantic,Democrat,voted,Clinton,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,about once a month,very happy,good,in favor,not wrong at all,agree,yes,never
2022,3485,keeping house,NA,someone else,never married,2,2,41,35,14,high school,NA,MALE,WHITE,small city or town,south atlantic,below average,yes,1,$25k to $30k,south atlantic,Republican,NA,NA,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,about once or twice a year,pretty happy,good,in favor,wrong only sometimes,strongly agree,NA,less than once a week
2022,3486,other,NA,NA,never married,12,3,25,23,14,high school,NA,MALE,OTHER,medium-sized city (50-250k),south atlantic,below average,yes,0,$25k to $30k,south atlantic,Independent,NA,NA,NA,extremely conservative,NA,too little,too little,too little,too little,too little,too little,too little,too little,too little,too little,1,oppose,should be legal,never,pretty happy,good,NA,NA,NA,yes,NA
2022,3487,keeping house,NA,someone else,divorced,8,0,84,NA,7,less than high school,NA,FEMALE,BLACK,farm,south atlantic,NA,yes,0,NA,south atlantic,Independent,NA,NA,NA,moderate/middle of road,about right,too little,about right,about right,about right,too little,about right,about right,about right,about right,about right,1,NA,should not be legal,less than once a year,pretty happy,good,oppose,almost always wrong,strongly agree,NA,once a week
2022,3488,full time,40,someone else,married,1,0,31,NA,16,bachelors,psychology,MALE,WHITE,suburb near large city,south atlantic,below average,NA,0,$90k to $110k,south atlantic,Democrat,voted,Clinton,NA,extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,pretty happy,excellent,in favor,not wrong at all,strongly disagree,no,every day
2022,3489,in school,NA,someone else,widowed,2,4,64,25,14,associate,information technology,MALE,WHITE,small city or town,south atlantic,far below average,yes,0,$30k-$35k,south atlantic,Independent/Democrat,voted,Other,NA,slightly conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,favor,should be legal,never,not too happy,fair,NA,NA,NA,yes,NA
2022,3490,part time,2,someone else,never married,4,2,30,19,16,bachelors,nursing,FEMALE,WHITE,small city or town,south atlantic,average,yes,0,$60k to $75k,south atlantic,Independent/Democrat,voted,Clinton,NA,slightly liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,never,pretty happy,good,in favor,not wrong at all,strongly disagree,no,never
2022,3491,full time,30,self-employed,married,4,3,67,30,16,graduate,medicine,MALE,WHITE,small city or town,middle atlantic,above average,yes,4,"$170,000 or over",south atlantic,Democrat,voted,Clinton,NA,extremely liberal,too little,too little,too little,about right,about right,about right,about right,too little,too much,too little,about right,NA,favor,NA,about once or twice a year,very happy,good,in favor,not wrong at all,strongly disagree,no,every day
2022,3492,keeping house,NA,someone else,widowed,1,0,54,NA,20,bachelors,other vocational,MALE,WHITE,farm,middle atlantic,far below average,yes,0,$22.5k to $25k,south atlantic,Democrat,did not vote,NA,Trump,liberal,about right,too little,too little,too little,about right,too little,about right,too little,too little,too much,too little,NA,oppose,NA,never,not too happy,poor,oppose,not wrong at all,agree,yes,few times a week
2022,3493,in school,NA,self-employed,married,6,4,66,16,10,less than high school,NA,FEMALE,WHITE,open country but not a farm,south atlantic,average,yes,0,$130k to $150k,south atlantic,Republican,voted,Trump,NA,extremely conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,favor,NA,several times a week,very happy,good,NA,NA,NA,no,NA
2022,3494,full time,40,someone else,married,1,3,36,26,18,graduate,counseling,MALE,WHITE,small city or town,south atlantic,average,yes,0,$110k to $130k,south atlantic,Independent/Republican,voted,Trump,NA,moderate/middle of road,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,favor,NA,every week,very happy,excellent,oppose,wrong only sometimes,agree,yes,never
